Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales	313823	1.93107741398e-05	2.06979066696e-05	4.62940179011e-06	4.25066131866e-06
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	277409	0.0	6.3761700804e-06	0.0	6.56750744345e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	315309	0.0	1.7328072542e-06	0.0	1.14257926758e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	320725	2.85429581492e-06	0.0	1.85406436867e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	125624	0.0017674277085	0.00173150318212	0.00089960968925	0.00120200415876
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae	4324587	2.74876983502e-06	0.0	1.78551787875e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	321182	0.0	3.65854562537e-06	0.0	2.41237354639e-07
Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus	298427	3.389261292e-06	0.0	2.20156178793e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,uniformis	4435664	3.54583852597e-05	3.2282570872e-05	1.76906527402e-05	1.33688217311e-05
Bacteria,Tenericutes,Mollicutes,RF39	4425280	3.53584893102e-06	2.25556056094e-06	3.2337667206e-07	1.48727259044e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	178984	9.67311576404e-06	7.34444753131e-06	1.61081179993e-06	1.1117700672e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	327931	1.77874472041e-06	3.84797904647e-06	1.15541885667e-07	3.58103387467e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	174862	0.000166405370516	0.000233860261326	9.84265841348e-05	0.000151254668231
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	4306836	1.30433292667e-05	1.20908964908e-05	2.63816811281e-06	2.39900792872e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	323135	0.00141465115592	0.00217587194954	0.000370718560927	0.000749355051106
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	176297	7.82124399161e-05	8.0876511742e-05	3.49501401267e-05	4.69198716224e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	2365690	2.72673128678e-05	2.24560638997e-05	8.83790587943e-06	6.72179436718e-06
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus	4458917	0.0	1.7492433456e-06	0.0	1.15341690531e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	3325758	0.000640670002967	0.000910143927333	0.000269537756457	0.000477175644514
